	RBP_flag	seqSVM_score	seqDNN_score	BLAST_SeqOnly_score	PPI_score	PIA_score	y_ture	ProteinBERT_score	SVM_SeqOnly_NoSS_score	DNN_SeqOnly_NoSS_score
Q7Z465	0	0.1012698143955073	0.049897395	0.0952380952380952	0.2095475010580072	0.0790381212284528	0.0	0.07229522	0.1464394588401524	0.017540567
Q5JS98	0	0.3631807863499	0.052936204	0.0	0.0610600720269496	0.0831064537914531	0.0	0.15354514	0.6870896924792087	0.013378063
O60542	0	0.0252968724689833	0.0037075242	0.0	0.14248806154954	0.0820009600082444	0.0	0.009637624	0.0380316426200092	0.044671252
P31483	1	0.9713534244038264	0.9595465	0.9812206572769951	0.9326695977968094	0.9811745031032404	1.0	0.98214483	0.8386223829253696	0.9338848
Q9NVQ4	0	0.7557781451385147	0.051533952	0.0	0.0709641842903999	0.0961264427883776	0.0	0.2539163	0.7562738378765993	0.015626073
Q8TEA7	0	0.2680560495283971	0.22139905	0.0276679841897233	0.1140475229615622	0.138375091089515	0.0	0.0682069959999999	0.3595336614131629	0.13165034
Q8N8J0	0	0.3313824347800663	0.26543456	0.0769230769230769	0.1000148034850852	0.1184258915543663	0.0	0.13906705	0.5	0.14591551
Q9BYF1	0	0.783289115271225	0.08095214	0.0	0.3376963096669431	0.2059746443132329	0.0	0.0721603	0.6260876890481233	0.21377413
J3QQT2	1	0.7440913844282859	0.29114848	0.0	0.7056975302617771	0.7609181053813836	1.0	0.9386036	0.705724706449271	0.8794063
Q9Y2U9	0	0.1590948369118684	0.0033211587	0.0	0.3784358123550755	0.2200500759514204	0.0	0.034529448	0.15170441799545	0.0252288429999999
Q9HCQ5	0	0.3159340349058199	0.26441962	0.0	0.5424715387925424	0.1060194239530483	0.0	0.008631527	0.556148787203887	0.9261284
Q5SV97	0	0.2724787189345168	0.017416712	0.0	0.1154366567035952	0.0697543482758612	0.0	0.06512129	0.2694446789366596	0.03691314
A5PLK7	1	0.6720937623731301	0.067018546	0.1538461538461538	0.7254102125243855	0.7767832885671901	1.0	0.43762907	0.5533522913655339	0.050837524
Q96D31	0	0.0302681043106578	0.0026180795	0.125	0.1946374701859448	0.1893028342657794	0.0	0.031570673	0.0247273147881597	0.014282478
Q9H7X7	0	0.1088333219896917	0.064901106	0.0206185567010309	0.2577437592728877	0.131110651080415	0.0	0.0270124079999999	0.1202162365037459	0.82179767
O75437	0	0.0108554701277895	0.005176132	0.0089793475007482	0.1518413285367704	0.0598690879067632	0.0	0.002773583	0.050811582228603	0.0011473562
P05014	0	0.0012419289234978	0.004237885	0.0	0.6094346621627622	0.520354499022079	0.0	0.0038454533	0.0208154483769982	0.028555695
Q96J42	0	0.0642237428514958	0.02202323	0.2758620689655172	0.1136566884505955	0.1402732178960168	0.0	0.08734366	0.0611746002496161	0.09281714
O14757	0	0.232087171263634	0.09511882	0.0366598778004073	0.6432260931485682	0.7042571322437945	0.0	0.057823896	0.2298174526099883	0.07278412
Q86UA6	0	0.0014719840708558	0.0043685315	0.0	0.8247645799477332	0.8341387260464663	0.0	0.015833348	0.0092991213564686	0.14591551
Q6ZVH7	0	0.1074298111198061	0.0064890009999999	0.0405405405405405	0.1345060135255353	0.1333764906378708	0.0	0.003219694	0.1634440807918699	0.049651504
Q14154	0	0.1390329334906739	0.01022244	0.0526315789473684	0.1314763528962519	0.0859807939883739	0.0	0.20351782	0.1080103582303836	0.14591551
P02741	0	0.1369072948286444	0.0473483279999999	0.0	0.4905165394979408	0.3565592337814737	0.0	0.010482699	0.0695590086523649	0.07964718
Q8TAB3	0	0.0869619814577947	0.026839629	0.0116279069767441	0.1248078562532141	0.117836565469887	0.0	0.012031287	0.1734501927908038	0.58034295
Q86TE4	0	0.1398892370636021	0.016544586	0.0454545454545454	0.4232922968026208	0.3028960125555624	0.0	0.066105604	0.4559347095986361	0.043170147
Q8IYE1	0	0.4344437703626632	0.19221574	0.0	0.1818722267979701	0.1499814273947646	0.0	0.10421327	0.6640792377248138	0.6484269
Q9NRD5	0	0.684862331037326	0.0294618629999999	0.024390243902439	0.253735893426232	0.1447475002493041	0.0	0.81101835	0.7420476756570559	0.031805634
Q6UW60	0	0.0508051084603586	0.8438966999999998	0.0	0.0736487921336355	0.0617260496082653	0.0	0.038278908	0.2829316208043316	0.10727434
Q8WUZ0	0	0.4882891824470821	0.039761264	0.0	0.4153961009933291	0.2227104449797075	0.0	0.086515576	0.4172771368668281	0.013304807
P04920	1	0.2807832836587089	0.65641	0.0	0.3661227134109473	0.4024454905746205	1.0	0.07356936	0.4098079927843416	0.14139283
Q6VVB1	0	0.3844729365139251	0.0020079853	0.1827956989247312	0.2732621904792197	0.2548880568784585	0.0	0.062227607	0.1785086175056331	0.01577389
P23769	0	0.1846649170181736	0.12483963	0.0	0.2273304775102126	0.1214265804163412	0.0	0.35620308	0.3015622680156765	0.35537246
Q9NYK1	1	0.3849385666451054	0.027156059	0.0261437908496732	0.1761721020453241	0.1106595489448174	1.0	0.011728555	0.2655796267997993	0.12090066
Q9Y4G8	0	0.0336386040345887	0.6572084	0.0054945054945054	0.4505017436309488	0.4716772770447046	0.0	0.03419459	0.3193890999733371	0.18590125
Q96RS2	1	0.475508355900795	0.6596175999999999	0.25	0.3773826610429625	0.5290968153029397	1.0	0.944447	0.4004793647884564	0.8042693000000001
Q9Y6A1	0	0.0132887850600051	0.023230491	0.0	0.0489281054683769	0.0319099463559525	0.0	0.10048187	0.0459143972211333	0.0042836377
Q8IUK5	0	0.0316535265669255	0.20328915	0.0	0.1291664906956773	0.1568415701479492	0.0	0.015683264	0.1681595255320892	0.0162121169999999
Q9BXA5	0	0.0088381457308651	0.0057793333999999	0.0	0.1854331980451235	0.034949963567711	0.0	0.0015191436	0.0501222966265103	0.033035357
Q9NZN3	0	0.1895514094480453	0.12853575	0.037037037037037	0.0814317909646561	0.1115779445321293	0.0	0.11434576	0.5113972463073958	0.116452
Q19AV6	0	0.0149018775353873	0.00418433	0.0	0.4293573283320887	0.5920039966445411	0.0	0.053265452	0.0235415305066338	0.0217294879999999
Q9P1W9	0	0.3117012272522337	0.024401678	0.0421052631578947	0.5238600421554293	0.4272514658975953	0.0	0.0244591529999999	0.2609852339182322	0.15849905
O75460	1	0.1802222979577808	0.07469907	0.0395833333333333	0.4915038511769361	0.5067010156070147	1.0	0.115594655	0.3544425711226337	0.023952957
Q96S06	0	0.0296532879611827	0.010222361	0.0	0.0415561876896786	0.0318157595081306	0.0	0.0542634129999999	0.1517797142709491	0.21431056
Q9NPF2	0	0.1503117015268352	0.41172954	0.0	0.1721439771107667	0.0499707929675216	0.0	0.007898897	0.1699268188398798	0.14591551
P17900	0	0.0085655903042098	0.0018377029	0.0	0.4437687682571547	0.3076075213485613	0.0	0.0054055154	0.0507198718979933	0.03687393
Q8IYJ2	0	0.1315011562172019	0.3048097	0.0555555555555555	0.0920997345085068	0.0624427761649265	0.0	0.072747946	0.3346973285649229	0.3124407999999999
O43402	0	0.5	0.027910281	0.0	0.2050979464766636	0.1831166489215476	0.0	0.26863372	0.2420991414793053	0.17047128
Q9H2P0	1	0.1009085540073092	0.44416696	0.0089285714285714	0.8942032709011144	0.8619130524607331	1.0	0.64345545	0.359513620610379	0.8752656999999999
Q14526	0	0.1950035997450261	0.1974937	0.0075023444826508	0.6508905294995565	0.5232602566766003	0.0	0.17749122	0.3188915541074231	0.14591551
Q9BSF8	0	0.4461898316268357	0.08972185	0.0	0.7268618152942861	0.6366036926621437	0.0	0.07119495	0.6872641042750165	0.14591551
Q9BSF4	0	0.0696778471353963	0.4271724	0.5	0.235121102531214	0.2704133495393143	0.0	0.100771874	0.1413064043644792	0.390788
Q9NPI0	0	0.0117448437143995	0.0047884705	0.0	0.2083715915546362	0.3008797630624558	0.0	0.012248516	0.0368433863668365	0.002883042
Q86UV7	0	0.0078711728432217	0.003664119	0.0606060606060606	0.1346278703385093	0.1441641347173725	0.0	0.011315763	0.0489978507298495	0.06457992
A1KZ92	0	0.0347390693103139	0.07776935	0.0184089414858645	0.7477031915927518	0.8013991019539917	0.0	0.13166085	0.3746353274028409	0.3278977
Q8WV35	0	0.0331534240654306	0.0101052625	0.0266666666666666	0.0798198751227546	0.0516497012594642	0.0	0.007054627	0.0408416787806547	0.06343798
Q9H3V2	0	0.004281736420775	0.00038552226	0.0	0.3281547996275159	0.5374792486301532	0.0	0.0020899773	0.0190224895217585	0.14591551
Q9GZR2	1	0.9776581021306088	0.35423523	0.3	0.9434721813918426	0.988294287034581	1.0	0.927531	0.935475073713086	0.2157395
Q8NCC5	0	0.0089644458983094	0.0020495632	0.0	0.0918998943597083	0.1093324886926801	0.0	0.04434383	0.0143314403918808	0.069187425
O15287	0	0.2915982542842602	0.03616652	0.0	0.289411302745123	0.2807149205588004	0.0	0.029511452	0.3720948872761575	0.14591551
Q8N7J2	0	0.7549149798858444	0.8561743	0.0	0.2581896731885547	0.0964327465082787	0.0	0.20872328	0.7494438668004686	0.8841427
P49720	0	0.8139987480987378	0.13487445	0.0	0.7480353533859113	0.7250674044180748	0.0	0.5080252000000001	0.6880105767259735	0.011833611
B7ZAQ6	0	0.0155559539265377	0.31547338	0.0	0.0858960668075595	0.0998333411192198	0.0	0.04445371	0.0448815984818426	0.13666202
Q96AQ1	0	0.0643540792256501	0.012339598	0.1	0.1374820205260691	0.182636266844838	0.0	0.25969183	0.0946346350408813	0.14591551
Q16627	0	0.4517787730223205	0.008231005	0.0	0.0862930183669747	0.1374624828396886	0.0	0.011549562	0.4783078971947437	0.14591551
P24311	0	0.4185682002518712	0.025940418	0.0	0.6695389408880668	0.4349385848578959	0.0	0.007159263	0.3909106586695818	0.10289627
Q12968	0	0.0989132915940809	0.0239745579999999	0.0	0.7813341033169378	0.5942703100114827	0.0	0.019721746	0.2213433338368434	0.2043912999999999
Q9NXV6	1	0.2537069800247389	0.06427147	0.25	0.9103518807420272	0.9831561583683374	1.0	0.2774008	0.1303805210586341	0.14591551
Q96CW9	0	0.0353542806840591	0.5479909000000001	0.0110294117647058	0.3486385080107032	0.072969813347656	0.0	0.001968354	0.0681742326656617	0.3868642
P20794	0	0.3829516835401704	0.078177944	0.0408163265306122	0.217946532713363	0.2002514205207331	0.0	0.1397756	0.4692370106948489	0.16481695
Q9GZM7	0	0.0759182901116032	0.10154865	0.0	0.2933041526480962	0.2296046354153599	0.0	0.00067025423	0.0981320158022063	0.011553661
P46199	1	0.9862328464704816	0.54698575	0.3863636363636364	0.5921695218582093	0.9443010358793706	1.0	0.79935217	0.9634114102657866	0.9702832
Q8TDB8	0	0.061498843549651	0.022694718	0.0	0.5	0.5370437533479835	0.0	0.009034067	0.0923671821893135	0.08206186
O00167	0	0.0606831895142102	0.1808815	0.3333333333333333	0.2516526183701534	0.1028446992296996	0.0	0.0122672919999999	0.3200531140749204	0.11445669
Q7Z5A3	1	0.9391381434694068	0.9504792	0.2727272727272727	0.3456055894324498	0.5655992492529089	1.0	0.99278426	0.832213237347518	0.98762894
V9HWB8	0	0.9904335642818078	0.57774043	0.2222222222222222	0.1308883129735794	0.1548940987864062	0.0	0.45150495	0.9360477617503944	0.8193353999999999
Q7Z5A4	0	0.0280754260470101	0.0032978582	0.0075757575757575	0.1305433490516552	0.1404875805958761	0.0	0.0019244552	0.0604239176622286	0.8167883
Q6GMP0	0	0.2553676830347329	0.29706803	0.0	0.1260279181716918	0.1359836217894664	0.0	0.058157712	0.2954716160663682	0.088068336
Q495W5	0	0.1452803258122484	0.01705665	0.0	0.0435305029064037	0.0175901280746845	0.0	0.04106167	0.1470864461826965	0.010804105
Q8NES3	0	0.1267081444729255	0.1199275259999999	0.0	0.1274690897250275	0.0237888088342467	0.0	0.01500842	0.2825000625111442	0.53801
Q8N9Z0	0	0.1068233749365333	0.0008949553599999	0.0076481835564053	0.1271773048706005	0.0556743326007449	0.0	0.0033341347999999	0.1320442250659838	0.011688491
Q8N9Z9	0	0.4047812199150329	0.013765517	0.0	0.151346191089978	0.1620161279279686	0.0	0.16475832	0.5288826995203844	0.0058900409999999
P23511	0	0.5138865364994215	0.05892999	0.0	0.6453858855411133	0.5341276355524954	0.0	0.22416323	0.7692451906524548	0.075892486
Q86X51	0	0.0754655644173179	0.1311023999999999	0.25	0.0387717420051142	0.0250935076135869	0.0	0.15148059	0.0778316668204839	0.06563515
Q13043	0	0.2803043806041534	0.02033879	0.0417495029821073	0.6085829985426054	0.4091782753402967	0.0	0.0975242559999999	0.700916090340053	0.15057382
Q59G26	0	0.2367597583308469	0.08719611	0.1928934010152284	0.096809299304912	0.1207744138983561	0.0	0.13577428	0.0626751618058867	0.015537645
Q8IUI8	0	0.473997617267081	0.16853373	0.1818181818181818	0.5197718425658467	0.3307312660928327	0.0	0.13234943	0.5248574910728455	0.0122624189999999
P04798	0	0.1166599872375763	0.52118087	0.0	0.7877400813977993	0.5680064574572917	0.0	0.007122904	0.2440582184283825	0.019815847
P86452	0	0.0772305474359817	0.78690284	0.0526315789473684	0.1964842570583203	0.3030318371199737	0.0	0.22564602	0.0563091008785711	0.31147048
I3WAC9	0	0.0083774908498192	0.0032203865999999	0.0769230769230769	0.136125680521469	0.1614840499268093	0.0	0.0007315576	0.0518272777214932	0.029872857
Q9ULD0	0	0.1085724942538643	0.35683936	0.0	0.4919825223832082	0.5790617820475075	0.0	0.5387632	0.1774265709731898	0.07864523
Q9Y3B6	0	0.3052134025866448	0.14556631	0.3333333333333333	0.2558853768095288	0.1748432047974309	0.0	0.14320794	0.1835165708476845	0.033305123
Q6P3X3	0	0.6305859795826927	0.0065931681999999	0.1265822784810126	0.8139931629408675	0.9764421667197558	0.0	0.23457327	0.3938936987535012	0.20076036
Q5T230	0	0.0731027923101653	0.0041260645	0.0454545454545454	0.3455301694205427	0.1736331252218751	0.0	0.024701	0.0355703242967961	0.010293779
Q6IAX9	1	0.9581426492158284	0.5516203000000001	0.1666666666666666	0.1349160174949219	0.1456099934311092	1.0	0.8325094000000001	0.9697055386490712	0.92945385
Q8IZM9	0	0.0098712550275671	0.0011256739	0.0	0.3367641424986061	0.1654974955946331	0.0	0.0237030679999999	0.0356977427734317	0.014629638
Q4ZG72	1	0.9327918081859126	0.9550285	0.7407407407407407	0.5718672674479512	0.7206722999785274	1.0	0.99719775	0.6217914046967173	0.9976186
Q6P5T0	0	0.0412653977770773	0.02363344	0.0555555555555555	0.1116389524670303	0.0727483454666421	0.0	0.01510343	0.0543543462945789	0.14591551
Q8TE23	0	0.1390396213083766	0.05767593	0.037037037037037	0.14248806154954	0.0536745250376942	0.0	0.002804637	0.0464653999600994	0.020039499
Q9P202	0	0.0453800767958732	0.199034	0.0123152709359605	0.3317705485047817	0.269254543563705	0.0	0.031058967	0.1754151951660039	0.15026791
Q2M2E5	0	0.3389745426873505	0.03898142	0.0	0.3456037077900631	0.5658137469227615	0.0	0.050196946	0.4545758602658337	0.009192747
Q9P1Z9	0	0.7915565158341022	0.41008934	0.0909090909090909	0.4221069956379278	0.2243646970362153	0.0	0.03819719	0.6542505476435276	0.4866367999999999
Q92956	0	0.0362630275562402	0.0017695642999999	0.0392156862745098	0.4347687296437249	0.2020195608924235	0.0	0.010051638	0.0690898160677094	0.0044372794
Q96JF0	0	0.1875403484956819	0.028573275	0.0	0.1462169044819045	0.0362639408467138	0.0	0.0219134689999999	0.3234297179509102	0.01269221
Q6UWW9	0	0.0033108019641944	0.0013174182999999	0.0769230769230769	0.149176172018477	0.0615386290287529	0.0	0.0026034415	0.0271204322060428	0.14591551
Q9H8E5	0	0.0129717093848787	0.00051111367	0.0	0.1744156159077814	0.2160650973880439	0.0	0.0092422069999999	0.0076854915996655	0.004142723
Q96JF6	0	0.0284548857424423	0.0008154106299999	0.0070283329672743	0.1508767556727583	0.0445316392921223	0.0	0.009416401	0.0617639186564507	0.005634215
Q16609	0	0.0119672287502855	0.022479042	0.0	0.208093424203324	0.1438472859780138	0.0	0.025322586	0.0286614875639036	0.0038435535999999
V9HW26	0	0.805064913768048	0.96079344	0.0	0.080238722557569	0.049206043440626	0.0	0.20832753	0.7436781982673645	0.9936702
Q8IWZ3	1	0.1753756315234711	0.8290162	0.0333869670152856	0.8021769510486054	0.8385152031320401	1.0	0.084976286	0.6905609721241363	0.8993691999999999
A6NKE1	0	0.5743917296901804	0.012540408	0.0	0.7250684984718754	0.8840586186821052	0.0	0.31361198	0.6358908945836438	0.018223
Q5JPH6	1	0.4443680196760305	0.22288479	0.25	0.2388658062138201	0.511751999840413	1.0	0.96682394	0.5	0.07698126
Q9GZX9	0	0.0049740101876553	0.007154363	0.0	0.4273452069636778	0.2296859843655462	0.0	0.0005482137	0.0113300450274107	0.037442442
Q9H2W6	1	0.0628694477821786	0.100598946	0.0	0.966618666470149	0.9933823232516744	1.0	0.3860492	0.1502047743142469	0.18679087
Q9NQ94	1	0.9439237600877226	0.9795074	0.9925925925925926	0.1338769032884741	0.5159070662517998	1.0	0.99517787	0.924062627941532	0.95721346
Q6V9R5	0	0.0472267337808374	0.0009303178	0.0092592592592592	0.2077295400552393	0.1143803867863765	0.0	0.002416402	0.0788565359448772	0.031271994
P08572	0	0.0979073525251669	0.15036085	0.0135970333745364	0.279459575575443	0.1826435423712781	0.0	0.0020627081	0.1695379246781743	0.17929125
P51813	0	0.1443869951122594	0.075248	0.0303030303030303	0.3505577970011731	0.3897070716130978	0.0	0.14019254	0.3407920137323286	0.14591551
P07550	0	0.0254361049451953	0.0060135066	0.0	0.5066298745606489	0.3308565592073698	0.0	0.000890553	0.1381620334269347	0.05761304
Q6ZUB1	0	0.0773289637819096	0.25833124	0.0	0.3406019151891192	0.5577732568241179	0.0	0.05831173	0.3759169253689113	0.3137172
O14793	0	0.4494997275289735	0.0257208629999999	0.0	0.1113011876186517	0.0796434681932608	0.0	0.0064284205	0.4345119492744344	0.0048769009999999
Q13319	0	0.3934621864264163	0.818445	0.0769230769230769	0.2195844380984418	0.0762783893284773	0.0	0.20518303	0.4790762738429526	0.14152792
Q9Y2S7	0	0.1967026679659941	0.03510424	0.0	0.6008577119748842	0.5389577414177968	0.0	0.07207945	0.2439963589989677	0.98672014
Q5T0Z8	0	0.1506835149073409	0.6790864000000001	0.3333333333333333	0.3978794044132703	0.4647403104872178	0.0	0.18643585	0.3305364610811437	0.091106206
P22557	0	0.4041329115099197	0.053158317	0.0769230769230769	0.196807202024409	0.1077260667038957	0.0	0.019817084	0.3326014173404759	0.43705863
Q6PJF5	0	0.1144131735889791	0.0038299668	0.0	0.1173990661044897	0.130385636206663	0.0	0.01863876	0.1061429029653483	0.27899325
Q8TEB9	0	0.0109036866429468	0.023484416	0.0	0.2121273452875036	0.2334495316777122	0.0	0.031616747	0.0489625137705926	0.002950243
P16581	0	0.0510526996320958	0.0024118985	0.0143737166324435	0.4668348215652808	0.2358953956991866	0.0	0.0627006	0.1182017476134188	0.03130651
Q9C0K1	0	0.0223658700846922	0.01933016	0.0	0.0492683512514937	0.0167114504461132	0.0	0.004683584	0.0884248657803351	0.040935956
Q00G26	0	0.0236918745036467	0.3355623	0.0	0.382059229926084	0.1323475781112816	0.0	0.16390657	0.262620326004307	0.01306584
Q7L1I2	0	0.0383704661336835	0.3320639	0.0	0.1819881814501526	0.1028095535348156	0.0	0.030422986	0.1301955358997858	0.14591551
Q9BQ70	1	0.7322122716081861	0.04107639	0.0	0.4258029098107574	0.5630902937218683	1.0	0.23383796	0.4742569231001221	0.10395432
Q9HDB5	0	0.3437325080757419	0.0039026666999999	0.0	0.3692116615827653	0.4165925700076871	0.0	0.01952532	0.5474514567219381	0.019732904
Q9NX53	0	0.0352976173220963	0.016511986	0.0	0.060091533612033	0.0710290644707616	0.0	0.0202241539999999	0.0390822556513135	0.035841275
G5EA36	0	0.8091067371346792	0.06287778	0.0516129032258064	0.1708615585334329	0.2375710255477958	0.0	0.069059074	0.2865256252431677	0.066688314
Q0D2N8	0	0.7882665647114682	0.08628909	0.0238095238095238	0.1830943237475062	0.2674803774841046	0.0	0.28824311	0.5156330214480135	0.020568153
E9PCW1	0	0.0144255895317405	0.01550811	0.1428571428571428	0.175967952470994	0.1614926786833465	0.0	0.043759227	0.1436344060457824	0.0041175224
Q9HBT7	0	0.0045794995368818	0.0011716054	0.0075508864084044	0.3514909985510266	0.1237345339329369	0.0	0.003732115	0.0165385730022165	0.0191610119999999
Q6ZRP7	1	0.2969757105351816	0.013042495	0.2368421052631579	0.5717149715955749	0.397972486870594	1.0	0.49349606	0.4871402163956838	0.09709248
Q96B23	1	0.5449346626810945	0.4556302	0.0	0.7071410364565831	0.6295182788301064	1.0	0.220083	0.6367304397329859	0.91739625
A6NDR6	0	0.2401436413121919	0.6230665	0.0196078431372549	0.1267189082103015	0.1294099772008211	0.0	0.0056834519999999	0.2763430582291064	0.07126968
Q9UMZ3	0	0.2049354254873496	0.64905936	0.0241080038572806	0.2929822584514156	0.2230874947888157	0.0	0.028612316	0.5864702166558283	0.42591617
Q8N100	0	0.1125516039031575	0.0126290869999999	0.0	0.1375240543096602	0.2614135802916754	0.0	0.03472963	0.2675459462938612	0.007372439
Q9HCK5	1	0.5889748538940682	0.9291181	0.5833333333333334	0.654371599858076	0.6092113125814673	1.0	0.52736706	0.7464105318460484	0.51693606
Q9HCK3	0	0.2631357232082416	0.6894365	0.0	0.3406019151891192	0.5577732568241179	0.0	0.0379960239999999	0.7217829019147907	0.6380719
Q15003	1	0.5622543065114823	0.15510112	0.0	0.9012448491963888	0.936356540475364	1.0	0.3163179	0.5	0.2773435
Q9HCK0	0	0.1817999163940454	0.0023376902	0.008700930797248	0.242155669192885	0.0873837398902927	0.0	0.0322083529999999	0.2075077980372556	0.025994131
B2R7W4	1	0.9794462853025544	0.94730777	0.9483870967741936	0.3456055894324498	0.5655992492529089	1.0	0.99578834	0.9757215722776116	0.9370672
P78423	0	0.0236219714803595	0.0042599759999999	0.0294117647058823	0.1178258508862618	0.0636038623022109	0.0	0.028823763	0.1272056056739921	0.14591551
Q9Y328	0	0.3440940903905831	0.005208372	0.0	0.2720087854144371	0.4631947645075428	0.0	0.029650152	0.2874149659433601	0.030499203
Q3ZCQ8	0	0.1907087899885196	0.47798696	0.0	0.7246619605024192	0.7529615312678379	0.0	0.059206724	0.3596230765565281	0.43303624
Q15726	0	0.0397719529678267	0.21861643	0.1176470588235294	0.1295460549592794	0.0393341216479939	0.0	0.001734823	0.0507311860547598	0.014138874
Q9UJ68	0	0.7174784407845012	0.08856224	0.1111111111111111	0.2441500069254446	0.2617220612129345	0.0	0.0035668909999999	0.6448383019597722	0.059060894
Q7L5A8	0	0.0740091449765389	0.020734215	0.0	0.0353128188828208	0.0222160943525678	0.0	0.22431144	0.2099049728951336	0.002758887
O60938	0	0.116864073020623	0.009456761	0.0755667506297229	0.2025253212396718	0.110300358023244	0.0	0.09232965	0.1361854638822096	0.04216862
P07814	1	0.7740630034553092	0.83110315	0.1818181818181818	0.9139311896213126	0.9607615551715054	1.0	0.9756949	0.9507906944151354	0.48274425
Q14554	0	0.9466366143091351	0.28615192	0.2528735632183908	0.1535621200377177	0.3799661078516195	0.0	0.9559604	0.5810620712417297	0.08226338
O15244	0	0.1739743488248301	0.0223223979999999	0.0	0.8233412187536894	0.6999845107236713	0.0	0.022031099	0.0963291822929104	0.06089913
Q9H9C5	0	0.6174959238851101	0.12709704	0.0175438596491228	0.1290973897336881	0.1312436254856736	0.0	0.39552292	0.8606686259563876	0.09897975
Q8IWT0	0	0.6911038782891855	0.008056045	0.1666666666666666	0.6104953568156809	0.6258041796023387	0.0	0.47016683	0.3155380647118725	0.0376861879999999
O60266	1	0.3076229090217781	0.014105275	0.0277777777777777	0.1942544735825673	0.1234789161823159	1.0	0.01356408	0.3362311644830953	0.14591551
Q9Y617	1	0.6426547515244092	0.9283838	0.0	0.6378177320721117	0.6758230207668889	1.0	0.16721684	0.567670782751261	0.37807837
Q7Z758	0	0.017237605663396	0.0071844556	0.0	0.1554498615924928	0.2129763841539043	0.0	0.010589898	0.0497081032808409	0.14591551
Q15819	0	0.4015142146790627	0.019267682	0.1818181818181818	0.660266547093068	0.5336878911214519	0.0	0.113762885	0.5979841433819661	0.14591551
O95487	1	0.1497939075774335	0.0068038637	0.0	0.8239633323877787	0.8140289771504879	1.0	0.41002	0.271085789094629	0.007757453
Q9NR82	0	0.0593713197012137	0.53077024	0.027027027027027	0.0893909871401383	0.0775668910085181	0.0	0.009624749	0.4160041509389799	0.020775188
Q6ZP82	0	0.6194452638575543	0.37269518	0.0283018867924528	0.1841742520568076	0.2780273571870289	0.0	0.030503124	0.570590563604851	0.86813456
Q15404	0	0.3533947785770031	0.017282367	0.0643564356435643	0.6040909282835939	0.5554236111073536	0.0	0.13262916	0.7329236858658711	0.0200471469999999
